Strain,Stress(Mpa)
0.000646388,109.1742373
0.000647148,109.2605051
0.000647909,109.346773
0.000648669,109.4330408
0.00064943,109.5193086
0.00065019,109.6055765
0.00065095,109.6918443
0.000651711,109.7781121
0.000652471,109.8643799
0.000653232,109.9506478
0.000653992,110.0369156
0.000654753,110.1231834
0.000655513,110.2094513
0.000656274,110.2957191
0.000657034,110.3819869
0.000657795,110.4682548
0.000658555,110.5545226
0.000659316,110.6407904
0.000660076,110.7270582
0.000660837,110.8133261
0.000661597,110.8995939
0.000662357,110.9858617
0.000663118,111.0721296
0.000663878,111.1583974
0.000664639,111.2446652
0.000665399,111.3309331
0.00066616,111.4172009
0.00066692,111.5034687
0.000667681,111.5897365
0.000668441,111.6760044
0.000669202,111.7622722
0.000669962,111.84854
0.000670723,111.9348079
0.000671483,112.0210757
0.000672244,112.1073435
0.000673004,112.1936114
0.000673764,112.2798792
0.000674525,112.366147
0.000675285,112.4524148
0.000676046,112.5386827
0.000676806,112.6249505
0.000677567,112.7112183
0.000678327,112.7974862
0.000679088,112.883754
0.000679848,112.9700218
0.000680609,113.0562897
0.000681369,113.1425575
0.00068213,113.2288253
0.00068289,113.3150931
0.000683651,113.401361
0.000684411,113.4876288
0.000685171,113.5595004
0.000685932,113.631372
0.000686692,113.7032436
0.000687453,113.7751152
0.000688213,113.8469869
0.000688974,113.9188585
0.000689734,113.9907301
0.000690494,114.0626017
0.000691255,114.1344733
0.000692015,114.2063449
0.000692776,114.2782165
0.000693536,114.3500881
0.000694297,114.4219597
0.000695057,114.4938313
0.000695818,114.565703
0.000696578,114.6375746
0.000697338,114.7094462
0.000698099,114.7813178
0.000698859,114.8531894
0.00069962,114.925061
0.00070038,114.9969326
0.000701141,115.0688042
0.000701901,115.1406758
0.000702661,115.2125474
0.000703422,115.2844191
0.000704182,115.3562907
0.000704943,115.4281623
0.000705703,115.5000339
0.000706464,115.5719055
0.000707224,115.6437771
0.000707984,115.7156487
0.000708745,115.7875203
0.000709505,115.8593919
0.000710266,115.9312636
0.000711026,116.0031352
0.000711787,116.0750068
0.000712547,116.1468784
0.000713308,116.21875
0.000714068,116.2906216
0.000714829,116.3624932
0.000715589,116.4343648
0.00071635,116.5062365
0.00071711,116.5781081
0.000717871,116.6499797
0.000718631,116.7218513
0.000719391,116.7937229
0.000720152,116.8655945
0.000720912,116.9374661
0.000721673,117.0093378
0.000722433,117.0812094
0.000723194,117.153081
0.000723954,117.2249526
0.000724715,117.2968242
0.000725475,117.3686958
0.000726236,117.4405674
0.000726996,117.512439
0.000727757,117.5843107
0.000728517,117.6561823
0.000729278,117.7280539
0.000730038,117.7999255
0.000730798,117.8717971
0.000731559,117.9436687
0.000732319,118.0155403
0.00073308,118.0874119
0.00073384,118.1592836
0.000734601,118.2311552
0.000735361,118.3030268
0.000736122,118.3748984
0.000736882,118.44677
0.000737643,118.5186416
0.000738403,118.5905132
0.000739164,118.6623848
0.000739924,118.7342564
0.000740685,118.806128
0.000741445,118.8779996
0.000742205,118.9498713
0.000742966,119.0217429
0.000743726,119.0936145
0.000744487,119.1654861
0.000745247,119.2373577
0.000746008,119.3092293
0.000746768,119.3811009
0.000747529,119.4529725
0.000748289,119.5248441
0.00074905,119.5967158
0.00074981,119.6685874
0.000750571,119.740459
0.000751331,119.8123306
0.000752092,119.8842022
0.000752852,119.9560738
0.000753993,120.0278907
0.000755133,120.0997075
0.000756274,120.1715244
0.000757415,120.2433413
0.000758555,120.3151582
0.000759696,120.386975
0.000760837,120.4587919
0.000761977,120.5306088
0.000763118,120.6024257
0.000764259,120.6742425
0.000765399,120.7460594
0.00076654,120.8178763
0.000767681,120.8896932
0.000768821,120.96151
0.000769962,121.0333269
0.000771103,121.1051438
0.000772243,121.1769606
0.000773384,121.2487775
0.000774525,121.3205944
0.000775665,121.3924113
0.000776806,121.4642281
0.000777947,121.536045
0.000779087,121.6078619
0.000780228,121.6796788
0.000781369,121.7514956
0.000782509,121.8233125
0.00078365,121.8951294
0.000784791,121.9669463
0.000785931,122.0387631
0.000787072,122.11058
0.000788213,122.1823969
0.000789353,122.2542137
0.000790494,122.3260306
0.000791635,122.3978475
0.000792776,122.4696644
0.000793916,122.5414812
0.000795057,122.6132981
0.000796198,122.685115
0.000797338,122.7569319
0.000798479,122.8287487
0.00079962,122.9005656
0.00080076,122.9723825
0.000801901,123.0441994
0.000803042,123.1160162
0.000804183,123.1878331
0.000805323,123.25965
0.000806464,123.3314668
0.000807605,123.4032837
0.000808745,123.4751006
0.000809886,123.5469175
0.000811027,123.6187343
