Strain,Stress (MPa)
0.000507858,84.37869235
0.000508592,84.47944112
0.000509326,84.58018988
0.00051006,84.68093864
0.000510794,84.7816874
0.000511528,84.88243617
0.000512262,84.98318493
0.000512996,85.08393369
0.00051373,85.18468245
0.000514464,85.28543122
0.000515198,85.38617998
0.000515932,85.48692874
0.000516666,85.5876775
0.0005174,85.68842627
0.000518134,85.78917503
0.000518868,85.88992379
0.000519602,85.99067255
0.000520336,86.09142132
0.00052107,86.19217008
0.000521805,86.29291884
0.000522539,86.3936676
0.000523273,86.49441637
0.000524007,86.59516513
0.000524741,86.69591389
0.000525475,86.79666265
0.000526209,86.89741142
0.000526943,86.99816018
0.000527677,87.09890894
0.000528411,87.1996577
0.000529145,87.30040647
0.000529879,87.40115523
0.000530371,87.51110734
0.000530863,87.62105945
0.000531355,87.73101156
0.000531847,87.84096367
0.000532338,87.95091578
0.00053283,88.06086789
0.000533322,88.17082
0.000533814,88.28077211
0.000534306,88.39072422
0.000534798,88.50067633
0.00053529,88.61062844
0.000535782,88.72058055
0.000536274,88.83053266
0.000536766,88.94048477
0.000537257,89.05043688
0.000537749,89.16038899
0.000538241,89.2703411
0.000538733,89.38029321
0.000539225,89.49024532
0.000539717,89.60019743
0.000540209,89.71014954
0.000540701,89.82010165
0.000541193,89.93005376
0.000541684,90.04000586
0.000542176,90.14995797
0.000542668,90.25991008
0.00054316,90.36986219
0.000543652,90.4798143
0.000544144,90.58976641
0.000544636,90.69971852
0.000545128,90.80967063
0.00054562,90.91962274
0.000546111,91.02957485
0.000546603,91.13952696
0.000547095,91.24947907
0.000547587,91.35943118
0.000548079,91.46938329
0.000548571,91.5793354
0.000549063,91.68928751
0.000549555,91.79923962
0.000550047,91.90919173
0.000550539,92.01914384
0.00055103,92.12909595
0.000551522,92.23904806
0.000552014,92.34900017
0.000552506,92.45895228
0.000552998,92.56890439
0.000553976,92.68795526
0.000554954,92.80700614
0.000555931,92.92605701
0.000556909,93.04510788
0.000557887,93.16415876
0.000558865,93.28320963
0.000559843,93.40226051
0.000560821,93.52131138
0.000561798,93.64036225
0.000562776,93.75941313
0.000563754,93.878464
0.000564732,93.99751487
0.00056571,94.11656575
